This table is found at TSOProtocolsD_base+0x5b9b8 in TSO Pre-Alpha.

0x00020021: kCTRLID_DebugWatchRegVal1
0x00020022: kCTRLID_DebugWatchRegVal2
0x00020023: kCTRLID_DebugWatchRegVal3
0x00020024: kCTRLID_DebugWatchRegVal4
0x00020025: kCTRLID_DebugWatchRegVal5
0x00020026: kCTRLID_DebugWatchRegVal6
0x00020027: kCTRLID_DebugWatchRegVal7
0x00020028: kCTRLID_DebugWatchRegVal8
0x00020200: kCTRLID_DebugWatchRegValMin
0x00020300: kCTRLID_DebugWatchRegFilterMin
0x00030000: kQuestion
0x00040000: kTipInfoFlagPlaceLeftCentered
0x00080000: kTipInfoFlagPlaceLeftBottom
0x000F0000: kIconMASK
0x000FFFFF: kFloat64MantissaMask
0x00100000: kTipInfoFlagPlaceRightTop
0x00199925: GZCLSID_cGZPersistDBSegmentMIFF
0x001D4C01: kTSOAssetScrapBack
0x00200000: kTipInfoFlagPlaceRightCentered
0x00209401: kTSOAssetFarZoomOnlineThumb
0x00209801: kTSOAssetFarZoomReservedThumb
0x00209C01: kTSOAssetFarZoomYourHouseThumb
0x0020A001: kTSOAssetCloseZoomOnlineThumb
0x0020A401: kTSOAssetCloseZoomLockedThumb
0x0020A801: kTSOAssetCloseZoomYourHouseThumb
0x0020AC01: kTSOAssetFarZoomLockedThumb
0x00400000: kTipInfoFlagPlaceRightBottom
0x00436EB4: GZCLSID_cGZPersistStringResourceFactory
0x0054B7D5: GZIID_cIGZLanguageManager
0x00637701: GZCLSID_cTSOGraphicSystemNative
0x00673557: GZIID_cITSOFont
0x00673700: GZIID_cITSOGraphicSystem
0x00673958: GZCLSID_cTSOFontSys
0x00673959: GZIID_cITSOFontSys
0x006856F7: kGZIID_cIGZGameCommand
0x0073283C: kGZIID_cIGZGraphicSystem
0x007FFFFF: kFloat32MantissaMask
0x00800000: kTipInfoFlagPlaceAboveLeft
0x00B704CE: kCRC24Seed
0x01000000: kTipInfoFlagPlaceAboveCentered
0x01000001: kUseRightClick
0x0150CD95: kGZCLSID_cGZWinTree
0x0158A1DC: kGZIID_cIGZGraphVertexIterator
0x01864CFB: kCRC24Polynomial
0x02000000: kTipInfoFlagPlaceAboveRight
0x02E3A3E5: kIDMainCaption
0x02AE197F: GZCLSID_cGZPersistTokenResourceFactory
0x02CF2351: kGZIID_cIGZGraph
0x02F8817A: GZCLSID_cGZProgressMeterMgr
0x02FFBB60: kGZIID_cIGZGimexFactory
0x02FFBB61: kGZIID_cIGZBitmapFactory2
0x03000000: kDefBtn3
0x030980FD: kGZIID_cIGZGraphicSystemW95
0x030E27B7: kCheatCodeMessageEnabled
0x032F0B3C: kGZIID_cIGZWinTextTicker
0x035990A3: GZCLSID_cRZFastCompression3
0x035F62A4: kRZDBSegCompressedGuid
0x03FA40BF: GZIID_cIGZFrameworkHooks
0x04000000: kTipInfoFlagPlaceBottomLeft
0x04063236: kGZCLSID_cGZMessageServer
0x0414A2B1: GZCLSID_cGZRealtimeDebugDisplay
0x041740BA: kGZWin32COMDirector
0x04458FA3: GZIID_cIRBLoginAckCommand
0x04458FCA: GZIID_cIRBCloseChannelCommand
0x04480837: GZIID_cIRBSecureLoginCommand
0x0487534F: GZIID_cIGZSpanBuffer
0x04886FE1: GZIID_cIRBCommandHandlerManager
0x04909635: GZIID_cIRBSListener
0x0490990B: GZIID_cIRBListener
0x04C11DB7: kCRC32Polynomial
0x04CD16A3: GZIID_cIRBWinClientTest
0x04E37490: GZCLSID_cDRCService
0x04E3749C: kDRCService_SystemServiceID
0x04E374B2: GZIID_cIDRCService
0x04E4FD47: GZIID_cIRBCChannelInternal
0x04FA845B: kDefaultSysServiceID
0x0516C708: kGZIID_cISceneNode
0x0518693B: kGZIID_cICompositionTreeReadOnlyTraversal
0x05187D55: kGZCLSID_cCamera
0x051B11BD: GZIID_cIGZIStream
0x0522B6A5: GZCLSID_cDMCService
0x0522C673: kGZIID_cISegment
0x0522CFF5: GZIID_cIDMCMessageCommand
0x053D013E: GZIID_cIRBSServiceInternal
0x053D200A: kGZIID_cILightRefNode
0x05401541: GZIID_cIGZDebugCommandService
0x05465143: kGZCLSID_cFogStateRef
0x0553B7CF: kGZIID_cIDeviceDX
0x0557A314: GZIID_cIRBSysOpService
0x0564D93D: kRBBackEndDCOMDirector
0x056B2B3D: GZIID_cIGZProcessService
0x056B4C50: GZIID_cIRBStartProcessCommand
0x056B906E: kDefaultSysServiceId
0x0634F342: kGZIID_cIGZTypeMan
0x06549982: kGZIID_cIGZObjLeakCheck
0x0676EC6A: kGZIID_cIEmptyWinMain
0x0677091E: kSSID_cGZDbgBtnMgr
0x067B0EC5: kGZIID_cIGZHasViewPos
0x067F0A94: kGZIID_cIGZResProj
0x06815A0A: kGZCLSID_cGZWinMenu2
0x06815C4E: kGZIID_cIGZMenuItemInfo
0x0682D281: kGZIID_cIGZWinProcStrStrMapEdit
0x0682D3A8: kCTRLID_StringPairKey
0x0682D44F: kPARAM_Caption
0x0688374F: kCTRLID_ResName
0x069AB074: kCTRLID_TypeList
0x06B26A85: kGRPID_LoadSaveKeyGroup
0x06B26AD0: kRESID_LoadSaveKeyID
0x06B78567: kCTRLID_FileBrowser
0x06D60D12: kSSID_cGZResProjService
0x06D8CE66: kGZIID_cIGZWinProcResMan
0x06D9E4BF: kPARAM_IsLanguageDir
0x06DF42A9: kENUMSTART
0x06EB5B31: kGZCLSID_cGZTypeInfoRes
0x06EB617F: kPARAM_Exts
0x06EB665C: kENUMID_GetExts
0x06EEC83A: kPARAM_Resource
0x06F2FD94: kTYPEID_GZPersistResource
0x06F2FE55: kTYPEID_GZPersistDBSegment
0x06F329B6: kGZCLSID_cGZGUIDList
0x06F329B9: kGZIID_cIGZGUIDList
0x06F38F01: kPARAM_BtnID1
0x06F38F02: kPARAM_BtnID2
0x06F38F03: kPARAM_BtnID3
0x06F38F8C: kPARAM_EscapeKeyID
0x06F43F5E: kWCMCTRLID_ListBox
0x06F87280: kPARAM_IniFile
0x06F87288: kPARAM_LastBrowseDir
0x06F8728D: kPARAM_CurrentLanguage
0x06F87349: kGZIID_cIGZResProjPlugin
0x06FAAD13: kPARAM_StrList
0x06FABA5C: kWCMCTRLID_TextBtnCancel
0x06F1568E: kGZIID_cIGZPersistBufferResource
0x070AA8CE: kGZCLSID_cGZSegInitInfo
0x0721A29B: kGZCLSID_cGZFoo
0x07320A69: kGZIID_cIGZWinListView
0x073250DE: kGZIID_cIGZRow
0x076C3FE6: kGZCLSID_cGZCPUPerformanceInfoSysServ
0x076C7821: kGZCLSID_cGZCallbackSystemService
0x07850944: kGZCLSID_cGZGDriverGLEXT
0x078E8055: kGZCLSID_cGZWinFolders
0x07D4922E: kGZIID_cIGZCOMLibrary
0x07EC0006: kGZIID_cIGZClipboardData
0x07EC0010: kGZIID_cIGZClipboardManager
0x07EC025A: kGZCLSID_cGZClipboard
0x08000000: kTipInfoFlagPlaceBottomCentered
0x08696779: kGZIID_cIGZCursorResourceFactory
0x086BB8C1: kDriverGUID_Software2
0x086D4A89: kGZCLSID_cGZDBSegmentPackedFile
0x08710E0D: kMessageToggleOrderChanged
0x08710E0E: kMessageToggleBoolChanged
0x08710E0F: kMessageSelectionChanged
0x08710E10: kMessageItemDblClicked
0x0884E094: key.mInstance
0x0888CB55: kGZCLSID_cGZGDriverDebugDX7SingleHead
0x08963D64: kSndBtnDown
0x08963F6C: kTransparentColor
0x08963F91: kSysColorGray
0x08963FA5: kSysColorAqua
0x08963FAF: kSysColorLightOutline
0x08963FB7: kSysColorTextColor
0x08963FB9: kSysColorTextColorDisabled
0x0898CFA8: GZIID_cITSOSerializableStream
0x089B7DC8: GZIID_cIGZString
0x08AA5FE2: GZIID_cITSOGraphicSystemWin32
0x08AD9D52: GZIID_cITSOSplashScreenCallback
0x08B6EF7E: GZIID_cITSOWinIMECandidate
0x08BF2977: GZIID_cIOldGZWinGenDlg
0x08C729F6: GZIID_cITSOCursorManager
0x08C74A4E: kNoCursor
0x08C83A16: kWCMFONTID_ToolTips
0x08C8B6CE: GZCLSID_cTSOWinCheatHelp
0x08CC1727: GZCLSID_cTSOWinMsgBox
0x08CD864C: kCTRLID_Description
0x08CEFDF1: GZCLSID_cTSOOptionsManager
0x08CF65DA: GZIID_cITSOWinScrollbar
0x08D0893E: GZIID_cITSOMainWindow
0x08D0895C: GZIID_cITSOMainWindowWin32
0x08D2B5AD: GZCLSID_cTSOWinTextList
0x08D2C138: kCTRLID_TLScrollbarV
0x08E2978A: kWCMBMPID_ColorTile
0x08EA53D1: kWCMCOLOR_SimsDefaultColor
